#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      air.mat             
#  Mass density= 1.204790E-03 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   1.00000E+03  3.48940E+03  3.48788E+03  9.99563E-01  9.99563E-01  1.00000E+00  7.7E-04  1.0001E+01
   1.50000E+03  1.15381E+03  1.15239E+03  9.98770E-01  9.98770E-01  1.00000E+00  1.3E-03  1.0001E+01
   2.00000E+03  5.11727E+02  5.10465E+02  9.97534E-01  9.97534E-01  1.00000E+00  1.8E-03  1.0001E+01
   2.50000E+03  2.68813E+02  2.67703E+02  9.95870E-01  9.95870E-01  1.00000E+00  2.3E-03  1.0001E+01
   3.00000E+03  1.57644E+02  1.56690E+02  9.93947E-01  9.93947E-01  1.00000E+00  2.8E-03  1.0001E+01
   3.50000E+03  1.12309E+02  1.10238E+02  9.81564E-01  9.81564E-01  1.00000E+00  4.8E-03  1.0001E+01
   4.00000E+03  7.59163E+01  7.43967E+01  9.79984E-01  9.79984E-01  1.00000E+00  5.0E-03  1.0001E+01
   4.50000E+03  5.36528E+01  5.24691E+01  9.77938E-01  9.77938E-01  1.00000E+00  5.1E-03  1.0001E+01
   5.00000E+03  3.92846E+01  3.83199E+01  9.75445E-01  9.75445E-01  1.00000E+00  5.4E-03  1.0001E+01
   5.50000E+03  2.95980E+01  2.87838E+01  9.72492E-01  9.72492E-01  1.00000E+00  5.7E-03  1.0001E+01
   6.00000E+03  2.28437E+01  2.21367E+01  9.69052E-01  9.69052E-01  1.00000E+00  6.1E-03  1.0001E+01
   6.50000E+03  1.79848E+01  1.73585E+01  9.65178E-01  9.65178E-01  1.00000E+00  6.5E-03  1.0001E+01
   7.00000E+03  1.44254E+01  1.38607E+01  9.60856E-01  9.60856E-01  1.00000E+00  6.9E-03  1.0001E+01
   7.50000E+03  1.17393E+01  1.12225E+01  9.55975E-01  9.55975E-01  1.00000E+00  7.4E-03  1.0001E+01
   8.00000E+03  9.68872E+00  9.21023E+00  9.50614E-01  9.50617E-01  9.99996E-01  9.5E-03  1.0001E+01
   8.50000E+03  8.08839E+00  7.64240E+00  9.44861E-01  9.44861E-01  1.00000E+00  8.5E-03  1.0001E+01
   9.00000E+03  6.82919E+00  6.40740E+00  9.38236E-01  9.38244E-01  9.99992E-01  1.2E-02  1.0001E+01
   9.50000E+03  5.81942E+00  5.42138E+00  9.31601E-01  9.31614E-01  9.99987E-01  1.4E-02  1.0001E+01
   1.00000E+04  5.00504E+00  4.62672E+00  9.24412E-01  9.24420E-01  9.99991E-01  1.4E-02  1.0001E+01
   1.05000E+04  4.33798E+00  3.97497E+00  9.16318E-01  9.16335E-01  9.99981E-01  1.6E-02  1.0001E+01
   1.10000E+04  3.78912E+00  3.44046E+00  9.07985E-01  9.08010E-01  9.99973E-01  1.9E-02  1.0001E+01
   1.15000E+04  3.33112E+00  2.99419E+00  8.98854E-01  8.98874E-01  9.99978E-01  1.8E-02  1.0001E+01
   1.20000E+04  2.94796E+00  2.61976E+00  8.88666E-01  8.88690E-01  9.99974E-01  2.1E-02  1.0001E+01
   1.25000E+04  2.62483E+00  2.30665E+00  8.78779E-01  8.78809E-01  9.99966E-01  2.3E-02  1.0001E+01
   1.30000E+04  2.34915E+00  2.04023E+00  8.68494E-01  8.68529E-01  9.99960E-01  2.5E-02  1.0001E+01
   1.35000E+04  2.11378E+00  1.81114E+00  8.56827E-01  8.56858E-01  9.99964E-01  2.4E-02  1.0001E+01
   1.40000E+04  1.91161E+00  1.61685E+00  8.45805E-01  8.45842E-01  9.99957E-01  2.7E-02  1.0001E+01
   1.45000E+04  1.73623E+00  1.44835E+00  8.34191E-01  8.34233E-01  9.99949E-01  2.9E-02  1.0001E+01
   1.50000E+04  1.58396E+00  1.30163E+00  8.21756E-01  8.21799E-01  9.99947E-01  3.2E-02  1.0001E+01
   1.55000E+04  1.45035E+00  1.17372E+00  8.09269E-01  8.09309E-01  9.99951E-01  3.1E-02  1.0001E+01
   1.60000E+04  1.33332E+00  1.06177E+00  7.96332E-01  7.96376E-01  9.99944E-01  3.3E-02  1.0001E+01
   1.65000E+04  1.23059E+00  9.63618E-01  7.83051E-01  7.83105E-01  9.99931E-01  3.5E-02  1.0001E+01
   1.70000E+04  1.14006E+00  8.77210E-01  7.69441E-01  7.69491E-01  9.99935E-01  3.7E-02  1.0001E+01
   1.75000E+04  1.05972E+00  8.01658E-01  7.56482E-01  7.56539E-01  9.99924E-01  3.9E-02  1.0001E+01
   1.80000E+04  9.87697E-01  7.33298E-01  7.42432E-01  7.42482E-01  9.99932E-01  3.8E-02  1.0001E+01
