#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      aluminum.mat        
#  Mass density= 2.698900E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   1.00000E+03  1.07223E+03  1.07044E+03  9.98329E-01  9.98329E-01  1.00000E+00  1.4E-03  1.0001E+01
   1.50000E+03  3.66796E+02  3.65811E+02  9.97315E-01  9.97315E-01  1.00000E+00  2.5E-03  1.0001E+01
   2.00000E+03  2.25695E+03  2.19755E+03  9.73681E-01  9.73681E-01  1.00000E+00  5.1E-03  1.0001E+01
   2.50000E+03  1.27085E+03  1.24293E+03  9.78037E-01  9.78037E-01  1.00000E+00  4.2E-03  1.0001E+01
   3.00000E+03  7.83919E+02  7.68848E+02  9.80774E-01  9.80774E-01  1.00000E+00  3.7E-03  1.0001E+01
   3.50000E+03  5.16496E+02  5.07351E+02  9.82295E-01  9.82295E-01  1.00000E+00  3.4E-03  1.0001E+01
   4.00000E+03  3.57797E+02  3.51745E+02  9.83086E-01  9.83086E-01  1.00000E+00  3.4E-03  1.0001E+01
   4.50000E+03  2.57804E+02  2.53511E+02  9.83348E-01  9.83351E-01  9.99997E-01  3.5E-03  1.0001E+01
   5.00000E+03  1.91742E+02  1.88507E+02  9.83129E-01  9.83137E-01  9.99992E-01  3.7E-03  1.0001E+01
   5.50000E+03  1.46387E+02  1.43834E+02  9.82560E-01  9.82568E-01  9.99991E-01  3.9E-03  1.0001E+01
   6.00000E+03  1.14238E+02  1.12145E+02  9.81685E-01  9.81698E-01  9.99987E-01  4.3E-03  1.0001E+01
   6.50000E+03  9.07550E+01  8.89957E+01  9.80615E-01  9.80630E-01  9.99985E-01  4.5E-03  1.0001E+01
   7.00000E+03  7.33576E+01  7.18425E+01  9.79347E-01  9.79403E-01  9.99943E-01  6.3E-03  1.0001E+01
   7.50000E+03  6.00569E+01  5.87337E+01  9.77967E-01  9.78028E-01  9.99938E-01  6.7E-03  1.0001E+01
   8.00000E+03  4.98178E+01  4.86361E+01  9.76279E-01  9.76398E-01  9.99878E-01  8.3E-03  1.0001E+01
   8.50000E+03  4.17408E+01  4.06685E+01  9.74310E-01  9.74481E-01  9.99825E-01  9.9E-03  1.0001E+01
   9.00000E+03  3.53362E+01  3.43636E+01  9.72474E-01  9.72651E-01  9.99818E-01  1.0E-02  1.0001E+01
   9.50000E+03  3.01563E+01  2.92694E+01  9.70589E-01  9.70819E-01  9.99763E-01  1.1E-02  1.0001E+01
   1.00000E+04  2.59517E+01  2.51302E+01  9.68345E-01  9.68611E-01  9.99725E-01  1.3E-02  1.0001E+01
   1.05000E+04  2.24815E+01  2.17197E+01  9.66112E-01  9.66369E-01  9.99734E-01  1.3E-02  1.0001E+01
   1.10000E+04  1.96104E+01  1.89019E+01  9.63872E-01  9.64176E-01  9.99685E-01  1.4E-02  1.0001E+01
   1.15000E+04  1.71996E+01  1.65353E+01  9.61377E-01  9.61715E-01  9.99648E-01  1.6E-02  1.0001E+01
   1.20000E+04  1.51727E+01  1.45414E+01  9.58390E-01  9.58727E-01  9.99649E-01  1.6E-02  1.0001E+01
   1.25000E+04  1.34570E+01  1.28623E+01  9.55806E-01  9.56172E-01  9.99617E-01  1.7E-02  1.0001E+01
   1.30000E+04  1.19854E+01  1.14173E+01  9.52601E-01  9.52991E-01  9.99591E-01  1.9E-02  1.0001E+01
   1.35000E+04  1.07239E+01  1.01860E+01  9.49839E-01  9.50255E-01  9.99563E-01  2.0E-02  1.0001E+01
   1.40000E+04  9.63672E+00  9.11964E+00  9.46342E-01  9.46769E-01  9.99549E-01  2.0E-02  1.0001E+01
   1.45000E+04  8.69036E+00  8.19511E+00  9.43011E-01  9.43466E-01  9.99518E-01  2.2E-02  1.0001E+01
   1.50000E+04  7.86669E+00  7.38962E+00  9.39357E-01  9.39842E-01  9.99483E-01  2.3E-02  1.0001E+01
   1.55000E+04  7.14240E+00  6.68660E+00  9.36184E-01  9.36699E-01  9.99451E-01  2.4E-02  1.0001E+01
   1.60000E+04  6.50641E+00  6.06578E+00  9.32277E-01  9.32815E-01  9.99423E-01  2.5E-02  1.0001E+01
   1.65000E+04  5.94587E+00  5.52076E+00  9.28504E-01  9.29007E-01  9.99459E-01  2.6E-02  1.0001E+01
   1.70000E+04  5.44994E+00  5.03656E+00  9.24150E-01  9.24708E-01  9.99396E-01  2.7E-02  1.0001E+01
   1.75000E+04  5.00948E+00  4.60771E+00  9.19799E-01  9.20351E-01  9.99400E-01  2.8E-02  1.0001E+01
   1.80000E+04  4.61445E+00  4.22412E+00  9.15412E-01  9.15991E-01  9.99368E-01  3.0E-02  1.0001E+01
   1.85000E+04  4.26154E+00  3.88197E+00  9.10932E-01  9.11518E-01  9.99356E-01  3.1E-02  1.0001E+01
   1.90000E+04  3.94519E+00  3.57772E+00  9.06858E-01  9.07494E-01  9.99299E-01  3.3E-02  1.0001E+01
   1.95000E+04  3.66077E+00  3.29886E+00  9.01138E-01  9.01730E-01  9.99343E-01  3.3E-02  1.0001E+01
   2.00000E+04  3.40436E+00  3.05554E+00  8.97535E-01  8.98180E-01  9.99282E-01  3.4E-02  1.0001E+01
   2.05000E+04  3.17147E+00  2.82825E+00  8.91782E-01  8.92427E-01  9.99277E-01  3.5E-02  1.0001E+01
   2.10000E+04  2.96054E+00  2.62551E+00  8.86834E-01  8.87487E-01  9.99264E-01  3.6E-02  1.0001E+01
   2.15000E+04  2.76907E+00  2.44215E+00  8.81940E-01  8.82596E-01  9.99257E-01  3.8E-02  1.0001E+01
   2.20000E+04  2.59485E+00  2.27157E+00  8.75412E-01  8.76094E-01  9.99221E-01  3.9E-02  1.0001E+01
   2.25000E+04  2.43521E+00  2.12011E+00  8.70606E-01  8.71289E-01  9.99215E-01  3.9E-02  1.0001E+01
   2.30000E+04  2.28938E+00  1.97984E+00  8.64791E-01  8.65487E-01  9.99196E-01  4.0E-02  1.0001E+01
   2.35000E+04  2.15592E+00  1.85112E+00  8.58620E-01  8.59313E-01  9.99194E-01  4.2E-02  1.0001E+01
   2.40000E+04  2.03351E+00  1.73406E+00  8.52744E-01  8.53445E-01  9.99178E-01  4.3E-02  1.0001E+01
   2.45000E+04  1.92098E+00  1.62747E+00  8.47209E-01  8.47925E-01  9.99157E-01  4.4E-02  1.0001E+01
   2.50000E+04  1.81733E+00  1.52788E+00  8.40726E-01  8.41470E-01  9.99116E-01  4.6E-02  1.0001E+01
