#  Photon mass energy-absorption coefficients from PENELOPE
#  Material data file:      pmma.mat            
#  Mass density= 1.190000E+00 g/cm**3
# 
#  Tolerance = 1.000000E-01 %
#  Allotted simulation time = 1.000000E+02 s
#  Dump period= 1.000000E+01 s
#
#    Energy       mu/rho      mu_en/rho     (1-g)*f        f            1-g      uncert.      T
#     (eV)       (cm**2/g)    (cm**2/g)                                            (%)       (s)
# ---------------------------------------------------------------------------------------------------
   1.00000E+03  2.69968E+03  2.69835E+03  9.99510E-01  9.99510E-01  1.00000E+00  8.0E-04  1.0001E+01
   1.50000E+03  8.85723E+02  8.84511E+02  9.98632E-01  9.98632E-01  1.00000E+00  1.3E-03  1.0001E+01
   2.00000E+03  3.90967E+02  3.89895E+02  9.97258E-01  9.97258E-01  1.00000E+00  1.9E-03  1.0001E+01
   2.50000E+03  2.04743E+02  2.03794E+02  9.95366E-01  9.95366E-01  1.00000E+00  2.5E-03  1.0001E+01
   3.00000E+03  1.19831E+02  1.19008E+02  9.93135E-01  9.93135E-01  1.00000E+00  3.0E-03  1.0001E+01
   3.50000E+03  7.58629E+01  7.51236E+01  9.90256E-01  9.90256E-01  1.00000E+00  3.6E-03  1.0001E+01
   4.00000E+03  5.09068E+01  5.02432E+01  9.86964E-01  9.86964E-01  1.00000E+00  4.2E-03  1.0001E+01
   4.50000E+03  3.57466E+01  3.51433E+01  9.83124E-01  9.83124E-01  1.00000E+00  4.7E-03  1.0001E+01
   5.00000E+03  2.60283E+01  2.54722E+01  9.78634E-01  9.78634E-01  1.00000E+00  5.3E-03  1.0001E+01
   5.50000E+03  1.95214E+01  1.90076E+01  9.73676E-01  9.73676E-01  1.00000E+00  6.0E-03  1.0001E+01
   6.00000E+03  1.50110E+01  1.45301E+01  9.67961E-01  9.67961E-01  1.00000E+00  6.6E-03  1.0001E+01
   6.50000E+03  1.17844E+01  1.13347E+01  9.61846E-01  9.61846E-01  1.00000E+00  7.2E-03  1.0001E+01
   7.00000E+03  9.43077E+00  9.00376E+00  9.54722E-01  9.54722E-01  1.00000E+00  7.9E-03  1.0001E+01
   7.50000E+03  7.66287E+00  7.25659E+00  9.46981E-01  9.46981E-01  1.00000E+00  8.5E-03  1.0001E+01
   8.00000E+03  6.31920E+00  5.93178E+00  9.38692E-01  9.38692E-01  1.00000E+00  9.2E-03  1.0001E+01
   8.50000E+03  5.27452E+00  4.90243E+00  9.29454E-01  9.29454E-01  1.00000E+00  1.0E-02  1.0001E+01
