-------------------------------
Spectrum Information
Energy	Prob
1250.0	3.17e-126
1750.0	3.58e-51
2250.0	2.35e-25
2750.0	4.01e-39
3250.0	2.66e-29
3750.0	2.29e-20
4250.0	6.16e-15
4750.0	2.27e-11
5250.0	6.13e-09
5750.0	3.11e-07
6250.0	5.18e-06
6750.0	4.22e-05
7250.0	0.000206
7750.0	0.000678
8250.0	0.0017
8750.0	0.00348
9250.0	0.00598
9750.0	0.00937
10250.0	0.013
10750.0	0.0172
11250.0	0.0218
11750.0	0.026
12250.0	0.0293
12750.0	0.0324
13250.0	0.0348
13750.0	0.037
14250.0	0.0385
14750.0	0.0385
15250.0	0.0379
15750.0	0.0382
16250.0	0.0385
16750.0	0.0379
17250.0	0.28
17750.0	0.0345
18250.0	0.0336
18750.0	0.0321
19250.0	0.0307
19750.0	0.0866
20250.0	0.00327
20750.0	0.00301
21250.0	0.00297
21750.0	0.00291
22250.0	0.00292
22750.0	0.00285
23250.0	0.00287
23750.0	0.00274
24250.0	0.00284
24750.0	0.00241
25250.0	0.00235
25750.0	0.00227
26250.0	0.00195
26750.0	0.00183
27250.0	0.00124
27750.0	0.00108
28250.0	0.0
-------------------------------
-------------------------------
Material Information
Air
Name:air
Density:0.00120479
Energy	Mu/Rho	Mu_en/Rho
1000.0	3489.4	3487.88
1500.0	1153.81	1152.39
2000.0	511.727	510.465
2500.0	268.813	267.703
3000.0	157.644	156.69
3500.0	112.309	110.238
4000.0	75.9163	74.3967
4500.0	53.6528	52.4691
5000.0	39.2846	38.3199
5500.0	29.598	28.7838
6000.0	22.8437	22.1367
6500.0	17.9848	17.3585
7000.0	14.4254	13.8607
7500.0	11.7393	11.2225
8000.0	9.68872	9.21023
8500.0	8.08839	7.6424
9000.0	6.82919	6.4074
9500.0	5.81942	5.42138
10000.0	5.00504	4.62672
10500.0	4.33798	3.97497
11000.0	3.78912	3.44046
11500.0	3.33112	2.99419
12000.0	2.94796	2.61976
12500.0	2.62483	2.30665
13000.0	2.34915	2.04023
13500.0	2.11378	1.81114
14000.0	1.91161	1.61685
14500.0	1.73623	1.44835
15000.0	1.58396	1.30163
15500.0	1.45035	1.17372
16000.0	1.33332	1.06177
16500.0	1.23059	0.963618
17000.0	1.14006	0.87721
17500.0	1.05972	0.801658
18000.0	0.987697	0.733298
18500.0	0.923424	0.672315
19000.0	0.865837	0.61857
19500.0	0.814165	0.569882
20000.0	0.767645	0.526579
20500.0	0.725381	0.487146
21000.0	0.687124	0.451813
21500.0	0.652442	0.419645
22000.0	0.62091	0.390323
22500.0	0.592012	0.363794
23000.0	0.565559	0.339147
23500.0	0.541371	0.317806
24000.0	0.51918	0.297791
24500.0	0.498753	0.279065
25000.0	0.479955	0.262228
25500.0	0.46244	0.246611
26000.0	0.446264	0.232231
26500.0	0.431252	0.218862
27000.0	0.417357	0.206464
27500.0	0.4045	0.195254
28000.0	0.392623	0.185068
28500.0	0.381508	0.175358
29000.0	0.37112	0.166466
29500.0	0.361431	0.158245
30000.0	0.352383	0.150475
30500.0	0.343857	0.14317
31000.0	0.335843	0.136592
31500.0	0.328309	0.130199
32000.0	0.321241	0.124266
32500.0	0.314603	0.118912
33000.0	0.308358	0.113816
33500.0	0.302462	0.108807
34000.0	0.296862	0.104362
34500.0	0.291576	0.100156
35000.0	0.286584	0.0960588
35500.0	0.281854	0.0922615
36000.0	0.277382	0.0889113
36500.0	0.273136	0.0856334
37000.0	0.269078	0.0824645
37500.0	0.26523	0.0794872
38000.0	0.261577	0.0765798
38500.0	0.258107	0.0741258
39000.0	0.254809	0.0716376
39500.0	0.251669	0.0692421
40000.0	0.248634	0.0669968
40500.0	0.245728	0.0649389
41000.0	0.242955	0.063126
41500.0	0.24031	0.0610914
42000.0	0.237784	0.0593348
42500.0	0.235371	0.0576114
43000.0	0.233063	0.0559429
43500.0	0.230823	0.0544575
44000.0	0.228673	0.0530167
44500.0	0.226613	0.0516533
45000.0	0.224637	0.0502897
45500.0	0.222739	0.0492344
46000.0	0.220917	0.0480442
46500.0	0.219167	0.0469089
47000.0	0.217475	0.0458194
47500.0	0.215821	0.0447632
48000.0	0.214229	0.0437607
48500.0	0.212696	0.0428769
49000.0	0.211218	0.041952
49500.0	0.209792	0.0410963
50000.0	0.208417	0.0403028
50500.0	0.20709	0.0396371
51000.0	0.205808	0.038887
51500.0	0.204543	0.0381657
52000.0	0.20332	0.0374834
52500.0	0.202137	0.036863
53000.0	0.200993	0.036245
53500.0	0.199886	0.0356524
54000.0	0.198814	0.0351124
54500.0	0.197776	0.0345626
55000.0	0.19677	0.0340783
55500.0	0.195793	0.0336199
56000.0	0.194823	0.0331739
56500.0	0.193879	0.0326772
57000.0	0.192961	0.0322965
57500.0	0.192069	0.0318953
58000.0	0.191203	0.0314117
58500.0	0.190361	0.0310658
59000.0	0.189541	0.0307452
59500.0	0.188744	0.030366
60000.0	0.187968	0.0300756
60500.0	0.187205	0.0297447
61000.0	0.186447	0.0294008
61500.0	0.185708	0.0291644
62000.0	0.184988	0.0288656
62500.0	0.184286	0.0285413
63000.0	0.183601	0.0283703
63500.0	0.182934	0.0281052
64000.0	0.182282	0.027847
64500.0	0.181646	0.0276318
65000.0	0.181027	0.0274154
65500.0	0.180423	0.0272057
66000.0	0.179821	0.0270006
